term;tfidf_score;in_domain
блокчейн;0.07643884117981807;True
валидатор;0.06755826310508999;True
блок;0.062339892242771464;True
алгоритм;0.04061359203672018;True
распределение;0.0354647022400558;True
механизм;0.030645861870851127;True
майнинг;0.02678949046133446;True
сообщение;0.024000324926227896;True
узел;0.022111046906240252;True
голос;0.02195317733404562;True
frequency dictionary;0.02090882932780101;True
майнер;0.020605276686818875;True
консенсус;0.019483265790061426;True
текст;0.018420996052193064;True
анализ;0.01718311769992597;True
сеть;0.01670774639826758;True
реестр;0.016066318598875938;True
consensus algorithm;0.015990555042765336;True
proof of stake;0.01588886496997438;True
proof of work;0.014739762183082837;True
модель;0.014625233637683904;True
метод;0.014598254055575388;True
процесс;0.01421080687134594;True
fault tolerance;0.013255222921917258;True
алгоритм консенсуса;0.01252887042742174;True
производительность;0.012387972456452156;True
атака;0.012268170988981747;True
хеш;0.010857577999032319;True
транзакция;0.010710879065917292;True
proof of authority;0.009607265544754426;True
цепь;0.009495757545015006;True
система;0.009111097395369925;True
баланс;0.008929830153778153;True
byzantine fault tolerance;0.008838062362181542;True
технология;0.008755960534528894;True
distributed ledger;0.008452209196922526;True
double spending;0.00831634471791917;True
безопасность;0.0076281120973096875;True
раунд;0.007317725778015205;True
частотный анализ;0.007178340525100631;True
подтверждение;0.00701461804417769;True
масштабируемость;0.006601523571175206;True
предложение;0.006325931534436525;True
голосование;0.006187589575253493;True
лемма;0.006000081231556974;True
frequency analysis;0.0054287889995161594;True
natural language processing;0.005385358178997793;True
анализ текста;0.005383755393825473;True
протокол;0.005355439532958646;True
sybil attack;0.005071325518153515;True
архитектура;0.004358370828395034;True
эффективность;0.004358370828395034;True
реализация;0.00418155758743726;True
распространение;0.00418155758743726;True
структура;0.0038050797343275626;True
сложность;0.0030937947876267463;True
состояние;0.0030937947876267463;True
представление;0.0026801953025675533;True
токенизация;0.0026801953025675533;True
лемматизация;0.0026801953025675533;True
стемминг;0.0026801953025675533;True
уязвимость;0.002514784809157145;True
задержка;0.002514784809157145;True
статистика;0.002108643844812175;True
токен;0.0018957311866575719;True
злоумышленника;0.07591283876272241;False
да да;0.0625655264527932;False
aз aм;0.04944066934802947;False
успешной;0.046715593084752254;False
нет нет;0.04171035096852879;False
букв;0.041536203882000314;False
слов;0.04144724111743439;False
сеанса;0.04087614394915822;False
aм aз;0.03803128411386882;False
да да да;0.037581589876035916;False
текста;0.03684199210438613;False
proof of;0.03636186443924385;False
голосов;0.03483472941356202;False
aз aм aз;0.03426329754611898;False
aм aз aм;0.03426329754611898;False
международный;0.03373318064942394;False
препинания;0.032096157545182066;False
консенсуса;0.03145096745416871;False
доступа;0.03010889898962424;False
алгоритму;0.029556740108476868;False
онтологии;0.02948214832824309;False
ростом;0.029197245677970156;False
раунда;0.028500385849895626;False
вероятностей;0.02848727263504502;False
текстов;0.028329410384567717;False
мегаполиса;0.027662632900728595;False
сети;0.02702817515592624;False
успешной атаки;0.026621898879708176;False
анализа;0.026405587838147743;False
февраль;0.025930420986728743;False
алгоритму консенсуса;0.025625197297842062;False
to do;0.024428902157053393;False
валидаторов;0.024419762071011455;False
атаки;0.024142245440934237;False
вероятности;0.023739393862537518;False
